iter	Passed	Remaining
166	532970	17505044
167	536818	17523296
168	539929	17517365
169	542942	17508297
170	545876	17496789
171	548812	17485436
172	551800	17475803
173	554712	17463893
174	558185	17469617
175	561841	17480935
176	564895	17473469
177	567748	17459868
178	571199	17464650
179	574525	17465561
180	577482	17455272
181	580387	17443521
182	583276	17431351
183	586222	17421013
184	589227	17412482
185	592166	17402039
186	595002	17388707
187	598038	17381303
188	601018	17372296
189	603937	17361617
190	606844	17350677
191	609816	17341666
192	612702	17330267
193	615806	17325108
194	619043	17323693
195	621976	17313782
196	624904	17303839
197	627819	17293583
198	630823	17285821
199	633716	17275119
200	636702	17266984
201	639714	17259637
202	642613	17249273
203	645533	17239529
204	648522	17231705
205	651554	17225074
206	654525	17216873
207	657617	17211873
208	660570	17203265
209	663472	17193417
210	666401	17184323
211	669238	17172914
212	672198	17164742
213	675078	17154556
214	677927	17143686
215	680955	17137368
216	683968	17130731
217	686978	17124046
218	690065	17119303
219	693064	17112399
220	696114	17106789
221	699034	17098001
222	701989	17090142
223	704901	17081272
224	707874	17073936
225	710959	17069331
226	713852	17060120
227	716826	17052924
228	719678	17042876
229	722682	17036463
230	725823	17033291
231	729744	17048338
232	733730	17064744
233	737019	17064842
234	740247	17063497
235	743593	17064829
236	746524	17056675
237	749494	17049417
238	752419	17041210
239	755263	17031196
240	758214	17023647
241	761160	17016025
242	764092	17008124
243	766985	16999408
244	769953	16992407
245	772895	16984858
246	775833	16977240
247	779069	16976166
248	782001	16968487
249	784960	16961435
250	787907	16954143
251	790788	16945469
252	793698	16937456
253	796603	16929394
254	799537	16921965
255	802430	16913727
256	805378	16906682
257	808326	16899672
258	811282	16892844
259	814244	16886184
260	817538	16886398
261	820522	16880207
262	823438	16872668
263	826291	16863854
264	829797	16868374
265	832691	16860433
266	835598	16852800
267	838609	16847289
268	841505	16839487
269	844459	16832889
270	847400	16826058
271	850365	16819725
272	853303	16812898
273	856271	16806665
274	859266	16801009
275	862162	16793423
276	865106	16786819
277	868098	16781146
278	871194	16777511
279	874205	16772263
280	877123	16765241
281	880119	16759727
282	883084	16753642
283	886017	16746972
284	889042	16742078
285	891982	16735582
286	894977	16730156
287	898021	16725657
288	900934	16718724
289	903690	16708922
290	906658	16703088
291	909557	16695991
292	912497	16689675
293	915438	16683403
294	918380	16677162
295	921320	16670913
296	924318	16665749
297	927221	16658872
298	930227	16653863
299	933101	16646530
300	936068	16640863
301	939016	16634900
302	942227	16633583
303	945210	16628234
304	948195	16622958
305	951118	16616593
306	954137	16611940
307	957185	16607792
308	960119	16601675
309	963083	16596104
310	966071	16590959
311	969005	16584898
312	971921	16578563
313	975065	16576118
314	977922	16568794
315	980988	16565038
316	983987	16560173
317	986915	16554117
318	989866	16548450
319	992812	16542739
320	995778	16537372
321	998758	16532246
322	1001710	16526675
323	1004608	16520228
324	1007664	16516391
325	1010630	16511099
326	1013574	16505456
327	1016547	16500296
328	1019462	16494225
329	1022455	16489424
330	1025414	16484078
331	1028300	16477584
332	1031234	16471884
333	1034141	16465756
334	1037060	16459853
335	1040067	16455359
336	1042988	16449504
337	1045890	16443376
338	1048832	16437898
339	1051783	16432575
340	1054714	16426942
341	1057627	16421060
342	1060607	16416225
343	1063508	16410188
344	1066407	16404126
345	1069370	16399069
346	1072343	16394187
347	1075292	16388942
348	1078719	16390979
349	1081666	16385696
350	1084670	16381303
